no,category,company_product,market,estimating_core,fused_business,actual_fusion_model,buyer,monetization,official_url,lukas_priority,lukas_takeaway
19,"입찰·조달","PlanHub","북미","수량산출·견적","플랜룸·업체 마켓플레이스","도면·견적 도구와 GC·하도급·공급사 네트워크를 연결","GC·전문건설사·공급사","무료+유료 구독","https://planhub.com/","P2","공급사 견적요청과 가격 회신 워크플로"
20,"입찰·조달","Procore Bid Management","글로벌","입찰 내역·패키지","프로젝트 실행 플랫폼","입찰 초대와 비교 결과를 수주 후 프로젝트 데이터로 전환","GC·발주자","기업 구독","https://www.procore.com/bid-management","P1","낙찰 BOQ를 변경·기성 기준선으로 승계"
21,"입찰·조달","SmartBid","북미","입찰 패키지","하도급 커뮤니케이션·네트워크","문서, 초대, 응답, 업체 정보를 수주 단계와 연결","GC","기업 구독","https://smartbid.co/","P2","업체 초대·회신 상태 관리"
22,"입찰·조달","RIB eTender","글로벌","전자입찰 내역","조달·계약","표준 내역과 입찰 문서를 배포하고 견적 비교·낙찰까지 관리","발주자·시공사","기업 SaaS","https://www.rib-software.com/en/rib-etender","P2","검증 내역 기반 전자입찰 패키지"
23,"입찰·조달","EstimateOne","호주·뉴질랜드","프로젝트·도면 정보","입찰 초대·네트워크","도면과 패키지를 건설사·전문업체 네트워크에 배포","GC·전문건설사","구독/무료 계층","https://estimateone.com/","P2","공종별 대상 업체 추천 전 단계"
24,"입찰·조달","Building Radar","유럽·글로벌","초기 프로젝트 원가 기회정보","건설 영업 CRM","건설 프로젝트 데이터를 공급사 영업 파이프라인과 결합","자재사·서비스사","기업 데이터 구독","https://buildingradar.com/","L3","수량 데이터로 자재업체 영업 리드 생성"
25,"입찰·조달","ProcurePro","호주·글로벌","예산·공종 패키지","하도급 조달","예산 항목을 패키지화해 견적, 비교, 계약 체결까지 연결","GC·시공사","기업 SaaS","https://procurepro.co/","P1","BOQ→발주 패키지→업체 비교의 직접 모델"
26,"입찰·조달","ConWize","유럽·글로벌","수량산출·견적","입찰·하도급 조달","도면 산출과 견적, 공급망 견적요청을 클라우드에서 연결","GC·전문건설사","SaaS 구독","https://conwize.io/","P2","품목 매핑과 공급사 RFQ를 한 화면에 결합"
27,"입찰·조달","The Blue Book Network","북미","공종·프로젝트 정보","업체 디렉터리·영업","프로젝트와 공종 정보를 업체 검색·입찰 기회로 연결","GC·전문건설사·공급사","구독/광고·리드","https://www.thebluebook.com/","L3","향후 자재·전문업체 네트워크 가능성"
28,"원가·변경","Procore Cost Management","글로벌","견적·예산","계약·변경·예측·송장","수량과 예산을 계약, 변경주문, 예측, 청구의 재무 생애주기로 연결","GC·발주자","기업 구독","https://www.procore.com/cost-management","P0","검증 BOQ를 변경·기성 기준선으로 운영"
29,"원가·변경","Autodesk Build Cost Management","글로벌","예산·계약 항목","현장 협업·변경관리","문서·현장 이슈에서 생긴 변경을 예산과 계약에 반영","GC·발주자","사용자 구독","https://construction.autodesk.com/products/autodesk-build/cost-management/","P0","IFC 변경→수량Δ→금액Δ 승인 흐름"
30,"원가·변경","RIB 4.0","글로벌","5D 견적·원가","계약·SCM·회계·탄소","견적을 프로젝트와 기업 재무·조달·탄소까지 확장","대형 시공사·발주자","기업 플랫폼 계약","https://www.rib-software.com/en/rib-4-0","P1","장기 통합 아키텍처 참고, 범위 복제는 금지"
31,"원가·변경","InEight Cost Management","글로벌","예산·실행원가","계약·예측·성과관리","견적 기준선을 실제비, 약정, 예측과 비교해 통제","대형 인프라·EPC","기업 SaaS","https://ineight.com/products/project-cost-management/","P1","원가 기준선·예측·실적 분리"
32,"원가·변경","Oracle Primavera Unifier","글로벌","CBS 원가·예산","계약·현금흐름·자산·ERP","WBS/CBS 비용을 일정·계약·조달·지급·자산관리와 연결","발주자·대형 시공사","기업 SaaS","https://www.oracle.com/construction-engineering/primavera-unifier-project-controls-asset-management/","P2","WBS/CBS·변경·지급의 장기 레퍼런스"
33,"원가·변경","CMiC","북미·글로벌","프로젝트 원가","회계·급여·현장관리","공사 원가와 기업 회계·현장 데이터를 단일 플랫폼에서 처리","대형 GC","기업 계약","https://cmicglobal.com/","P2","현장과 재무의 공통 cost code"
34,"원가·변경","Trimble Viewpoint Vista","북미","job cost·견적 연계","회계·급여·장비","프로젝트 원가를 재무·인력·장비 회계와 연결","시공사","기업 라이선스/SaaS","https://www.trimble.com/en/products/viewpoint-vista","P2","원가 코드와 실제비 수집 구조"
35,"원가·변경","Sage Intacct Construction","북미","예산·job cost","클라우드 회계·현금흐름","프로젝트 원가·약정·변경을 재무회계와 실시간 연결","시공사·부동산개발사","SaaS 구독","https://www.sage.com/en-us/sage-business-cloud/intacct/industry/construction/","P2","승인 BOQ를 회계 예산으로 넘기는 API"
36,"원가·변경","RedTeam Flex","북미","견적·입찰 비교","변경·계약·기성·협업","견적에서 업체선정, 계약, 변경주문, AIA 청구까지 연결","중견 GC","사용량 기반/구독","https://redteam.com/product/redteam-flex/","P1","중견 시공사에 맞는 얕고 넓은 워크플로"
37,"원가·변경","eSUB","북미","공종 원가·생산성","하도급 현장관리·변경","전문건설사의 견적 기준을 일보, 변경, 청구와 연결","전문건설사","SaaS 구독","https://esub.com/","P2","전문업체별 실적 원가 피드백"
38,"원가·변경","Jonas Premier","북미","job cost·견적","회계·프로젝트관리","견적·예산을 회계, 구매, 현장, 청구로 연결","중견 시공사","SaaS 구독","https://jonaspremier.com/","P2","중소 적산사/시공사 백오피스 결합"
39,"원가·변경","Buildertrend","북미","견적·선택품목","고객 포털·변경·결제","주택 견적을 고객 승인, 변경주문, 일정, 결제로 연결","주택건설사·리모델러","SaaS 구독","https://buildertrend.com/","P1","발주자 승인형 변경 견적 UX"
40,"공정·프로젝트통제","Bentley SYNCHRO","글로벌","모델 기반 수량·WBS","4D 일정·계약·지급","모델 수량을 일정, 현장 실적, 변경, 기성 신청과 연결","인프라·대형 시공사","기업 구독","https://www.bentley.com/software/synchro/","P1","수량-공정-기성 증거 연결의 대표 사례"
41,"공정·프로젝트통제","BEXEL Manager","유럽·글로벌","5D BIM 수량·원가","4D 공정·시설관리","BIM 수량과 원가를 일정 시뮬레이션·운영 데이터로 연결","BIM·시공팀","라이선스/구독","https://bexelmanager.com/","P2","요소 단위 4D/5D 연결"
42,"공정·프로젝트통제","RIB MTWO","글로벌","5D BIM 견적","프로젝트·기업 협업","모델 기반 원가를 프로젝트 계획·실행·분석으로 연결","시공사·발주자","기업 SaaS","https://www.rib-software.com/en/rib-mtwo","P2","검증 수량을 프로젝트 통제 허브로 확장"
43,"공정·프로젝트통제","RIB Candy","글로벌","견적·자원 분석","공정·현금흐름·프로젝트통제","견적 자원과 일정·현금흐름·실적을 연결","EPC·토목 시공사","라이선스/구독","https://www.rib-software.com/en/rib-candy","P2","산식·자원·일정의 공통 코드"
44,"공정·프로젝트통제","InEight Schedule","글로벌","원가·자원 기준 일정","리스크·현장 실행","비용과 자원을 포함한 일정 기준선을 실행·리스크 분석과 연결","대형 인프라·EPC","기업 SaaS","https://ineight.com/products/project-scheduling/","L3","수량 기반 생산성과 공기 예측"
45,"공정·프로젝트통제","ALICE Technologies","글로벌","수량·공정 대안","시공 시뮬레이션·입찰","자원·수량 제약으로 여러 시공계획과 비용·공기를 비교","대형 시공사·발주자","기업 SaaS","https://www.alicetechnologies.com/","L3","승인 수량을 공정 대안 시뮬레이션 입력으로 사용"
46,"공정·프로젝트통제","nPlan","글로벌","과거 프로젝트 수량·일정 패턴","일정 리스크","프로젝트 데이터를 학습해 공기 지연 위험과 대안을 제시","발주자·대형 시공사","기업 SaaS","https://www.nplan.io/","L3","AI 이전에 깨끗한 개정·진도 데이터 축적 필요"
47,"공정·프로젝트통제","Oracle Primavera Cloud","글로벌","원가·자원 적재 일정","리스크·포트폴리오","공정과 자원·비용·리스크·포트폴리오 계획을 통합","발주자·EPC","기업 SaaS","https://www.oracle.com/construction-engineering/primavera-cloud-project-management/","L3","검증 BOQ를 cost-loaded schedule로 전달"
48,"공정·프로젝트통제","Cleopatra Enterprise","글로벌","프로젝트 원가 견적","원가통제·턴어라운드·벤치마크","견적 기준을 실제비·예측·정비 프로젝트 통제와 연결","EPC·플랜트","기업 SaaS","https://www.cleopatraenterprise.com/","L3","플랜트 적산 서비스 확장 시 참고"
49,"공정·프로젝트통제","Asta Powerproject","영국·글로벌","수량·자원 기반 계획","4D BIM·현장 일정","BIM 모델과 공정, 자원, 진도 업데이트를 연결","시공사·플래너","구독/라이선스","https://www.elecosoft.com/products/powerproject/","L3","중견사형 4D 공정 연결"
50,"현장진도·검측","OpenSpace Track","글로벌","설치 물량·진도 측정","기성·일정 리스크","360 영상과 사람 검증으로 작업 완료량을 확인해 청구·일정에 사용","GC·발주자·전문건설사","기업 SaaS+서비스","https://www.openspace.ai/products/track/","P1","요소/공종별 검측 증거를 기성에 연결"
51,"현장진도·검측","Buildots","글로벌","BIM 대비 설치 진도","일정·성과관리","현장 영상을 BIM·일정과 비교해 진도와 지연을 계산","GC·발주자","기업 SaaS+현장 서비스","https://buildots.com/","P2","추출 수량을 계획량, 영상 검측을 실적량으로 분리"
52,"현장진도·검측","Doxel","북미","설치량·생산성 측정","원가·일정 예측","현장 스캔을 BIM·예산·일정과 비교해 비용·공정 위험을 예측","대형 시공사·발주자","기업 SaaS+장비/서비스","https://www.doxel.ai/","L3","실적 수량과 생산성 데이터 사업"
53,"현장진도·검측","Avvir","북미","as-built 대 BIM 수량 차이","품질·지급·시설 인수","스캔으로 설치 오류·진도를 검증해 재작업과 지급 판단에 사용","GC·발주자","기업 SaaS","https://www.avvir.io/","L3","검측 증거와 승인 수량 결합"
54,"현장진도·검측","DroneDeploy Progress AI","글로벌","작업완료율 측정","드론·360 운영 서비스","현장 영상에서 공종별 진도를 산출하고 촬영 서비스까지 제공","GC·발주자","기업 SaaS+촬영 서비스","https://dronedeploy.com/product/progress-ai","P2","소프트웨어+현장 데이터 수집 서비스 수익"
55,"현장진도·검측","Cupix SiteInsights","글로벌","BIM 요소 설치상태","4D 일정·보고서","360 캡처와 BIM·일정을 결합해 공종·위치별 진도와 예측 제공","GC·발주자","기업 SaaS","https://www.cupix.com/product/construction-progress-tracking-software","P2","웹 IFC 요소에 현장 상태를 붙이는 방식"
56,"현장진도·검측","HoloBuilder","글로벌","시점별 현장 기록","분쟁·원격검측·인수","360 기록을 도면 위치와 시간축에 붙여 변경·검측 근거로 활용","GC·발주자","기업 SaaS","https://www.holobuilder.com/","P2","수량 행에 사진·위치·날짜 증거 첨부"
57,"현장진도·검측","Reconstruct","북미","진도·실적 비교","프로젝트 통제·원격 협업","현장 캡처, BIM, 일정 데이터를 결합해 진행상황과 위험을 보여줌","GC·발주자","기업 SaaS","https://www.reconstructinc.com/","L3","개정·공정·현장 영상 데이터 그래프"
58,"현장진도·검측","Evercam","유럽·글로벌","시각적 진도 기록","현장 카메라·분쟁 증거","고정 카메라와 영상 분석을 프로젝트 보고·증빙에 연결","GC·발주자","SaaS+카메라/서비스","https://evercam.io/","P2","저비용 현장 기록 서비스와 결합 가능"
59,"현장진도·검측","Oculo","호주·영국","360 현장 기록","설계 검토·진도·협업","현장 영상과 도면·BIM을 연결해 원격 검토와 진도 기록 제공","GC·설계사·발주자","기업 SaaS","https://oculo.ai/","P2","도면/IFC와 촬영 위치 연결"
60,"자재·ERP","RIB BuildSmart","글로벌","예산·실행원가","구매·재고·회계","프로젝트 예산을 조달, 자재, 회계, 급여와 연결","시공사·EPC","기업 라이선스/SaaS","https://www.rib-software.com/en/rib-buildsmart","P1","승인 수량→발주→입고→송장 3자 대조"
61,"자재·ERP","COINS","글로벌","job cost·예산","ERP·구매·주택판매","프로젝트 원가를 재무·조달·현장·고객 업무와 통합","대형 시공사·주택사","기업 SaaS","https://www.coins-global.com/","P2","적산 회사의 백오피스 SaaS 가능성"
62,"자재·ERP","Acumatica Construction","북미","수량·단가 예측","구매·재고·회계·급여","프로젝트 수량과 단가로 원가를 예측하고 자재 구매·회계로 연결","중견 시공사","SaaS/도입 서비스","https://www.acumatica.com/cloud-erp-software/construction-management/","P1","자재 계획과 회계 연동의 실용 모델"
63,"자재·ERP","Sage 300 Construction and Real Estate","북미","job cost·예산","회계·급여·부동산관리","프로젝트 원가와 기업 회계·급여·부동산 운영을 연결","시공사·부동산사","라이선스/구독","https://www.sage.com/en-us/products/sage-300-construction-and-real-estate/","P2","공사비와 개발사업 재무의 결합"
64,"자재·ERP","4PS Construct","유럽","프로젝트 원가","Dynamics 365·자재·장비·서비스","원가를 재무, 조달, 장비, 유지보수까지 연결","시공사·MEP사","기업 SaaS/구축","https://www.4ps.co.uk/","P2","Microsoft 생태계 기반 건설 ERP 모델"
65,"자재·ERP","Eque2","영국","견적·job cost","회계·급여·자재","건설 원가와 회계·급여·상업관리 연결","중소·중견 시공사","SaaS/구독","https://www.eque2.co.uk/","P2","소형 적산사에 맞는 회계 결합"
66,"자재·ERP","Foundation Software","북미","job cost","회계·급여·프로젝트관리","원가코드별 실제비를 회계·급여·현장데이터와 통합","전문건설사·GC","구독/기업 견적","https://www.foundationsoft.com/","P2","노무·장비 실제비 피드백"
67,"자재·ERP","Trimble Viewpoint Spectrum","북미","job cost·견적","웹 ERP·현장·장비","중견 시공사의 프로젝트 원가와 기업운영을 연결","시공사","기업 SaaS","https://www.trimble.com/en/products/viewpoint-spectrum","P2","현장 입력이 쉬운 원가 ERP"
68,"자재·ERP","Oracle JD Edwards EnterpriseOne","글로벌","프로젝트 원가·계약청구","ERP·조달·자산·장비","프로젝트 비용·예측·청구를 전사 자원관리와 연결","대형 시공사·EPC","기업 라이선스/클라우드","https://www.oracle.com/applications/jd-edwards-enterpriseone/","L3","대기업 ERP 연계 API 대상으로 고려"
69,"자재·ERP","SAP S/4HANA for Engineering, Construction and Operations","글로벌","프로젝트 원가·WBS","조달·자산·재무·공급망","EPC 원가를 기업 조달·회계·자산 생애주기와 통합","대형 EPC·발주자","기업 클라우드/라이선스","https://www.sap.com/industries/engineering-construction-operations.html","L3","향후 기업용 커넥터 대상"
70,"탄소·순환경제","EC3","북미·글로벌","재료 수량·EPD 매칭","저탄소 조달","BOQ 재료를 EPD와 비교해 탄소 기준의 조달 선택을 지원","설계사·발주자·시공사","무료 오픈 플랫폼+생태계","https://www.buildingtransparency.org/tools/ec3/","P1","수량·제품·EPD·발주 증거를 연결"
71,"탄소·순환경제","One Click LCA","글로벌","BIM·BOQ 물량","LCA·규제·자재선정","수량을 환경 데이터와 매칭해 건물 LCA와 자재 비교 제공","설계사·발주자·제조사","구독/기업 라이선스","https://oneclicklca.com/","P1","검증 물량과 탄소계수 버전을 분리 저장"
72,"탄소·순환경제","TallyLCA","북미","Revit 재료 수량","전과정평가·설계 비교","Revit 모델 수량을 LCA 데이터와 연결해 설계안 탄소 비교","설계사·엔지니어","구독/라이선스","https://www.choosetally.com/","P2","Revit 추출기와 탄소 계산 분리 구조"
73,"탄소·순환경제","eToolLCD","호주·글로벌","건물 물량·재료","LCA·설계 최적화","건물 수량과 재료 시나리오를 수명주기 환경성과로 환산","설계사·컨설턴트","SaaS/서비스","https://etoolglobal.com/software/","P2","적산사가 탄소 검토 용역을 추가 판매"
74,"탄소·순환경제","Madaster","유럽·글로벌","자재 수량·자산 목록","자재 여권·잔존가치·순환성","건물 재료를 여권화해 탄소, 순환성, 재사용 가치로 연결","자산소유자·개발사","플랫폼 구독","https://madaster.com/","P1","영수증·자재 투명기록 비전과 가장 가까움"
75,"탄소·순환경제","2050 Materials","글로벌","BOQ 재료 매칭","환경 데이터 API·설계 최적화","BOQ 품목을 EPD·일반재료 DB와 매칭해 탄소 도구와 원가 SW에 공급","소프트웨어사·설계사","API 라이선스/구독","https://2050-materials.com/","P1","직접 DB 구축보다 라이선스 API 연동"
76,"탄소·순환경제","cove.tool","북미·글로벌","초기 물량·재료 대안","건물성능·비용·탄소 최적화","초기 설계 대안을 에너지·탄소·비용 지표로 비교","설계사·개발사","SaaS 구독","https://www.covetool.com/","L3","설계 초기 개략 적산과 탄소 비교"
77,"탄소·순환경제","Preoptima","영국·글로벌","초기 건물 물량","전생애탄소 설계 의사결정","설계 초기 모델에서 탄소 결과와 대안을 비교","설계사·개발사","SaaS/기업 견적","https://preoptima.com/","L3","설계단계 탄소 예산 서비스"
78,"준공·시설운영","OmTrak","호주·글로벌","준공 자산·문서 수량","하자·O&M·FM 인수","시공 중 수집한 자산·문서를 준공 인수와 시설 운영으로 연결","발주자·시공사·FM","기업 SaaS","https://www.omtrak.com/","P1","검증 자재/객체 기록을 준공 납품물로 판매"
79,"준공·시설운영","Autodesk Tandem","글로벌","BIM 자산 목록","디지털트윈·IoT·FM","Revit/IFC 자산과 문서를 센서·운영 시스템에 연결","시설운영자·AEC","용량 기반 구독","https://www.autodesk.com/products/tandem/overview","P2","IFC 객체와 운영 자산 ID 승계"
80,"준공·시설운영","Bentley iTwin","글로벌","인프라 모델·자산 수량","디지털트윈·검사·운영","설계·시공 모델을 운영 데이터와 연결해 자산 생애주기 관리","인프라 발주자·운영사","기업 플랫폼 사용량/구독","https://www.bentley.com/software/itwin-platform/","L3","인프라 분야 확장 모델"
81,"준공·시설운영","Dalux FM","유럽·글로벌","BIM 자산·공간 정보","시설관리·하자·작업지시","시공·커미셔닝 정보를 승인 후 FM으로 직접 이관","발주자·FM·시공사","기업 SaaS","https://www.dalux.com/dalux-fm/","P1","검수 승인 후 운영 자산으로 전환"
82,"준공·시설운영","Zutec","유럽·중동","자산·문서 인수","컴플라이언스·하자·FM","시공 데이터와 자산 문서를 디지털 인수·운영 규정 준수로 연결","개발사·시공사·주택사","기업 SaaS","https://www.zutec.com/","P2","준공 문서 검증 서비스"
83,"준공·시설운영","GliderBIM","영국","BIM·자산정보 요구사항","정보관리·디지털 인수","요구정보와 모델·문서를 검증해 운영 자산 데이터로 인계","발주자·시공사","기업 SaaS/서비스","https://www.glidertech.com/","P2","IDS 요구사항과 준공 인수 결합"
84,"준공·시설운영","IBM Maximo Real Estate and Facilities","글로벌","BIM 자산 초기화","CMMS·공간·유지보수","Revit/BIM 자산을 시설·작업·유지보수 시스템에 생성·동기화","대형 자산운영자","기업 SaaS/라이선스","https://www.ibm.com/products/maximo","L3","대형 FM 연계용 표준 자산 내보내기"
85,"준공·시설운영","Planon","글로벌","공간·자산 수량","IWMS·임대·유지보수·에너지","건물 자산 정보를 부동산·시설·에너지 운영으로 연결","기업 부동산·FM","기업 SaaS","https://planonsoftware.com/","L3","운영 데이터 플랫폼 파트너 전략"
86,"지급·금융","Built","북미","공정·예산·기성 증거","건설대출·지급","프로젝트 예산과 draw 요청·검사를 금융기관 지급 결정에 연결","대출기관·개발사·시공사","SaaS/금융 서비스","https://getbuilt.com/","P2","검증 수량·기성 증거를 대출 draw 패키지로 판매"
87,"지급·금융","Rabbet","북미","예산·기성 신청","개발금융·건설대출 심사","예산, 비용, 기성, 송장, 유치권 문서를 대출 집행과 위험관리로 연결","개발사·대출기관","기업 SaaS","https://rabbet.com/","P1","적산사 검토보고서를 금융 증빙으로 전환"
88,"지급·금융","Siteline","북미","공정률·기성 내역","청구·채권·유치권","SOV와 기성 내역을 pay app, lien waiver, A/R 예측으로 연결","전문건설사","SaaS 구독","https://www.siteline.com/","P1","월 기성 패키지 자동화 서비스"
89,"지급·금융","Payapps","호주·영국·북미","기성금액 평가","지급신청·승인·컴플라이언스","계약 내역과 진도율을 기성 청구·승인·지급 흐름에 연결","GC·전문건설사·발주자","SaaS 구독","https://www.payapps.com/","P1","승인 BOQ 기반 기성 협업실"
90,"지급·금융","Handle","북미","계약금액·청구","유치권·지급 컴플라이언스","프로젝트와 청구 데이터를 notice, waiver, lien rights 관리에 연결","자재사·전문건설사","SaaS/서비스","https://www.handle.com/","P2","자재대금 증빙과 채권 보호 서비스"
91,"지급·금융","Levelset","북미","프로젝트·지급 정보","유치권·결제 네트워크","공사·지급 데이터를 lien waiver와 대금 회수 업무로 연결","시공사·자재사","무료+유료 서비스","https://www.levelset.com/","P2","대금 투명성·분쟁 예방 콘텐츠 사업"
92,"지급·금융","Briq","북미","예산·원가 예측","재무계획·자동화","건설 재무 데이터를 예측·현금흐름·업무 자동화와 연결","시공사 CFO·재무팀","기업 SaaS","https://www.br.iq/","L3","정제된 프로젝트 원가 데이터의 분석 수익화"
93,"지급·금융","Constrafor","북미","조달·계약·송장","보험·리스크·인보이스 금융","하도급 조달 데이터와 COI·송장·조기금융을 연결","GC·전문건설사","SaaS+금융 수익","https://www.constrafor.com/","L3","플랫폼 수수료와 금융 매출의 장기 사례"
94,"벤치마크·사업성","Gordian RSMeans Data Online","북미","표준 단가·생산성","예산 벤치마크·조달","지역·시점별 공사비 데이터를 개략예산·견적·조달 기준으로 제공","견적자·발주자·설계사","데이터 구독","https://www.rsmeans.com/products/online","P1","라이선스 단가 DB 파트너십 모델"
95,"벤치마크·사업성","BCIS","영국","공사비 지수·벤치마크","보험·재건축비·사업성","프로젝트 원가 데이터를 지수·예측·재건축비 서비스로 재판매","QS·발주자·보험사","데이터 구독","https://www.bcis.co.uk/","P1","익명화 원가 데이터 축적의 장기 가치"
96,"벤치마크·사업성","ARGUS Developer","글로벌","개발공사비·현금흐름","부동산 사업성·투자분석","개발 원가·일정을 매출·금융·수익성 분석과 연결","개발사·금융기관","기업 라이선스/구독","https://www.altusgroup.com/argus/products/argus-developer/","P2","적산을 개발사업 타당성으로 확장"
97,"벤치마크·사업성","RIB Benchmark","글로벌","과거 프로젝트 공사비","원가 벤치마킹·개략예산","실적 원가를 표준화해 초기 단계 예산과 비교 기준으로 재사용","QS·발주자·시공사","기업 구독","https://www.rib-software.com/en/rib-benchmark","P2","승인 내역을 익명 벤치마크 DB로 축적"
98,"벤치마크·사업성","TestFit","북미","초기 면적·수량·단가","부지·개발 타당성","부지에 설계안을 생성하고 면적·주차·비용·수익성을 빠르게 비교","개발사·설계사","SaaS 구독","https://www.testfit.io/","P2","초기 개략수량+사업성 진입상품"
99,"벤치마크·사업성","Higharc","북미","주택 설계 수량·BOM","판매·견적·시공 문서","주택 설계를 BOM·가격·판매경험·시공문서로 자동 연결","주택개발사·빌더","기업 SaaS","https://higharc.com/","L3","제품화 주택에서 설계-견적-판매 자동화"
100,"벤치마크·사업성","LandTech","영국·글로벌","개발 가능 면적·비용 가정","토지 발굴·사업성·계획","토지·계획 데이터를 개발 시나리오와 사업성 판단에 연결","개발사·설계사","SaaS 구독","https://land.tech/","L3","적산 전 단계 토지·기획 데이터 결합"
